Location,x,t,nKx
Japan,20,1976,8675336
Japan,25,1976,11245951
Japan,30,1976,9380838
Japan,35,1976,8561681
Japan,40,1976,8374218
Japan,45,1976,7586356
Japan,50,1976,6179947
Japan,55,1976,4806095
Japan,60,1976,4372249
Japan,65,1976,3636968
Japan,70,1976,2671966
Japan,75,1976,1779100
Japan,80,1976,887119
Japan,85,1976,338841
Japan,90,1976,84752
Japan,95,1976,13504
Japan,100,1976,1012
Japan,0,1977,9649412
Japan,5,1977,9395431
Japan,10,1977,8285849
Japan,15,1977,7912041
Japan,20,1977,8347808
Japan,25,1977,11068798
Japan,30,1977,9505027
Japan,35,1977,8751814
Japan,40,1977,8456483
Japan,45,1977,7739393
Japan,50,1977,6519422
Japan,55,1977,4938035
Japan,60,1977,4407282
Japan,65,1977,3768030
Japan,70,1977,2735099
Japan,75,1977,1876168
Japan,80,1977,942340
Japan,85,1977,356566
Japan,90,1977,90713
Japan,95,1977,14722
Japan,100,1977,1087
Japan,0,1978,9312240
Japan,5,1978,9583775
Japan,10,1978,8500813
Japan,15,1978,7991142
Japan,20,1978,8121574
Japan,25,1978,10416847
Japan,30,1978,9987791
Japan,35,1978,9000527
Japan,40,1978,8460817
Japan,45,1978,7886525
Japan,50,1978,6820099
Japan,55,1978,5142002
Japan,60,1978,4417435
Japan,65,1978,3867119
Japan,70,1978,2836471
Japan,75,1978,1966303
Japan,80,1978,1004814
Japan,85,1978,376349
Japan,90,1978,99559
Japan,95,1978,16117
Japan,100,1978,1204
Japan,0,1979,8911853
Japan,5,1979,9788559
Japan,10,1979,8645246
Japan,15,1979,8090575
Japan,20,1979,8014579
Japan,25,1979,9659190
Japan,30,1979,10495376
Japan,35,1979,9284021
Japan,40,1979,8396686
Japan,45,1979,8011149
Japan,50,1979,7074789
Japan,55,1979,5414980
Japan,60,1979,4421074
Japan,65,1979,3955584
Japan,70,1979,2961437
Japan,75,1979,2041350
Japan,80,1979,1070598
Japan,85,1979,399368
Japan,90,1979,110106
Japan,95,1979,17620
Japan,100,1979,1367
Japan,0,1980,8534666
Japan,5,1980,9874417
Japan,10,1980,8758154
Japan,15,1980,8263985
Japan,20,1980,7936986
Japan,25,1980,9050004
Japan,30,1980,10967509
Japan,35,1980,9318112
Japan,40,1980,8390974
Japan,45,1980,8129744
Japan,50,1980,7270986
Japan,55,1980,5704273
Japan,60,1980,4486841
Japan,65,1980,4031523
Japan,70,1980,3098231
Japan,75,1980,2100646
Japan,80,1980,1139470
Japan,85,1980,426774
Japan,90,1980,119931
Japan,95,1980,19413
Japan,100,1980,1554
Japan,0,1981,8190898
Japan,5,1981,9804928
Japan,10,1981,9087485
Japan,15,1981,8277112
Japan,20,1981,7892257
Japan,25,1981,8649005
Japan,30,1981,11263117
Japan,35,1981,9104996
Japan,40,1981,8518429
Japan,45,1981,8251174
Japan,50,1981,7425051
Japan,55,1981,6017187
Japan,60,1981,4600207
Japan,65,1981,4093863
Japan,70,1981,3238137
Japan,75,1981,2146559
Japan,80,1981,1215918
Japan,85,1981,458200
Japan,90,1981,128199
Japan,95,1981,21310
Japan,100,1981,1690
Japan,0,1982,7878866
Japan,5,1982,9593563
Japan,10,1982,9426728
Japan,15,1982,8322757
Japan,20,1982,7931462
Japan,25,1982,8309581
Japan,30,1982,11047121
Japan,35,1982,9209061
Japan,40,1982,8716143
Japan,45,1982,8334463
Japan,50,1982,7572062
Japan,55,1982,6349386
Japan,60,1982,4732400
Japan,65,1982,4133997
Japan,70,1982,3367847
Japan,75,1982,2216175
Japan,80,1982,1296177
Japan,85,1982,496009
Japan,90,1982,138730
Japan,95,1982,23740
Japan,100,1982,1875
Japan,0,1983,7617015
Japan,5,1983,9256559
Japan,10,1983,9605754
Japan,15,1983,8549618
Japan,20,1983,8007769
Japan,25,1983,8079395
Japan,30,1983,10375260
Japan,35,1983,9688805
Japan,40,1983,8961933
Japan,45,1983,8336577
Japan,50,1983,7715231
Japan,55,1983,6640203
Japan,60,1983,4934701
Japan,65,1983,4149127
Japan,70,1983,3470265
Japan,75,1983,2317972
Japan,80,1983,1370698
Japan,85,1983,537591
Japan,90,1983,150344
Japan,95,1983,26786
Japan,100,1983,2148
Japan,0,1984,7404968
Japan,5,1984,8857445
Japan,10,1984,9802374
Japan,15,1984,8702337
Japan,20,1984,8107413
Japan,25,1984,7970335
Japan,30,1984,9603188
Japan,35,1984,10233228
Japan,40,1984,9224613
Japan,45,1984,8270708
Japan,50,1984,7841185
Japan,55,1984,6883373
Japan,60,1984,5203245
Japan,65,1984,4157993
Japan,70,1984,3561470
Japan,75,1984,2438107
Japan,80,1984,1433031
Japan,85,1984,580350
Japan,90,1984,162799
Japan,95,1984,30096
Japan,100,1984,2469
Japan,0,1985,7230968
Japan,5,1985,8482095
Japan,10,1985,9882475
Japan,15,1985,8824934
Japan,20,1985,8277933
Japan,25,1985,7886766
Japan,30,1985,8986155
Japan,35,1985,10763554
Japan,40,1985,9224838
Japan,45,1985,8268066
Japan,50,1985,7966784
Japan,55,1985,7069846
Japan,60,1985,5487008
Japan,65,1985,4227780
Japan,70,1985,3641385
Japan,75,1985,2569061
Japan,80,1985,1487606
Japan,85,1985,627368
Japan,90,1985,177756
Japan,95,1985,33743
Japan,100,1985,2906
Japan,0,1986,7077181
Japan,5,1986,8141403
Japan,10,1986,9808597
Japan,15,1986,9161388
Japan,20,1986,8287403
Japan,25,1986,7833390
Japan,30,1986,8581601
Japan,35,1986,11108681
Japan,40,1986,8989744
Japan,45,1986,8403091
Japan,50,1986,8095502
Japan,55,1986,7217324
Japan,60,1986,5793133
Japan,65,1986,4343944
Japan,70,1986,3709037
Japan,75,1986,2704088
Japan,80,1986,1537655
Japan,85,1986,681188
Japan,90,1986,195008
Japan,95,1986,37619
Japan,100,1986,3333
Japan,0,1987,6941566
Japan,5,1987,7833309
Japan,10,1987,9592866
Japan,15,1987,9499255
Japan,20,1987,8335467
Japan,25,1987,7865399
Japan,30,1987,8245076
Japan,35,1987,10919953
Japan,40,1987,9092040
Japan,45,1987,8607779
Japan,50,1987,8185340
Japan,55,1987,7359986
Japan,60,1987,6116479
Japan,65,1987,4478699
Japan,70,1987,3756162
Japan,75,1987,2832686
Japan,80,1987,1607886
